gene,group,mAP
ACTR2,Whole cell hit,1.0
ACTR3,Whole cell hit,1.0
ALG13,Whole cell hit,0.75
ALG5,Whole cell hit,0.6402777777777777
ALG8,Whole cell hit,0.6081018518518518
ANXA2,Whole cell hit,0.9791666666666666
ARF4,Whole cell hit,1.0
ARPC2,Whole cell hit,1.0
ARPC3,Whole cell hit,1.0
ARPC4,Whole cell hit,1.0
ATF4,Whole cell hit,0.4444444444444444
ATIC,Whole cell hit,0.5
ATP6V0A1,Whole cell hit,0.13055555555555554
ATP6V0B,Whole cell hit,1.0
ATP6V0C,Whole cell hit,1.0
ATP6V0D1,Whole cell hit,0.5357142857142857
ATP6V1H,Whole cell hit,1.0
ATRIP,Whole cell hit,0.7597222222222222
BRAP,Whole cell hit,0.45238095238095233
CASC3,Whole cell hit,0.24166666666666667
CDC73,Whole cell hit,0.8829365079365079
CDCA2,Whole cell hit,0.5319444444444444
CDK13,Whole cell hit,1.0
CHMP6,Whole cell hit,0.5051587301587301
CIAO1,Whole cell hit,0.8708333333333333
CIT,Whole cell hit,1.0
COG4,Whole cell hit,0.9791666666666666
COPA,Whole cell hit,0.3055555555555555
COX14,Whole cell hit,0.6733796296296296
CPSF1,Whole cell hit,1.0
CPSF3,Whole cell hit,0.7118055555555556
CPSF6,Whole cell hit,0.6666666666666666
CRKL,Whole cell hit,1.0
CSE1L,Whole cell hit,0.5
CYCS,Whole cell hit,0.5
DCTN5,Whole cell hit,0.9791666666666666
DDA1,Whole cell hit,0.32407407407407407
DDX6,Whole cell hit,1.0
DHX35,Whole cell hit,1.0
DHX8,Whole cell hit,0.09027777777777776
DNA2,Whole cell hit,0.5
DNAJC24,Whole cell hit,0.283531746031746
DNM1L,Whole cell hit,1.0
DPH2,Whole cell hit,0.3931547619047619
DRG2,Whole cell hit,0.9246031746031745
DYNLL1,Whole cell hit,1.0
EEF1G,Whole cell hit,1.0
EEF2,Whole cell hit,0.9180555555555555
EIF2AK4,Whole cell hit,0.5879629629629629
EIF2B1,Whole cell hit,0.7071428571428571
EIF2B2,Whole cell hit,1.0
EIF2B3,Whole cell hit,0.5916666666666666
EIF2B5,Whole cell hit,1.0
EIF2S3,Whole cell hit,0.3604166666666666
EIF3C,Whole cell hit,0.3535714285714286
EIF3E,Whole cell hit,0.5
EIF3H,Whole cell hit,0.7543650793650793
EIF3L,Whole cell hit,1.0
EIF4A1,Whole cell hit,1.0
EIF4B,Whole cell hit,0.5
EIF4E,Whole cell hit,1.0
EIF4EBP1,Whole cell hit,0.8770833333333333
EIF5,Whole cell hit,1.0
EML3,Whole cell hit,0.4003968253968254
ENO1,Whole cell hit,1.0
EPC1,Whole cell hit,1.0
ESRP2,Whole cell hit,0.2708333333333333
EXOC3,Whole cell hit,0.6922288359788359
EXOSC3,Whole cell hit,0.15972222222222224
FANCI,Whole cell hit,0.8333333333333334
FGFR1,Whole cell hit,0.5
FIP1L1,Whole cell hit,0.678968253968254
GCN1,Whole cell hit,0.9041666666666667
GDI2,Whole cell hit,0.7819444444444444
GINS1,Whole cell hit,1.0
GSPT1,Whole cell hit,0.09583333333333333
GSR,Whole cell hit,0.21547619047619046
HAUS3,Whole cell hit,0.3122685185185185
HDAC3,Whole cell hit,1.0
HSP90B1,Whole cell hit,1.0
HYOU1,Whole cell hit,1.0
IARS2,Whole cell hit,0.5
INO80,Whole cell hit,0.8069444444444445
INTS14,Whole cell hit,0.54375
INTS7,Whole cell hit,0.53125
ITGAV,Whole cell hit,1.0
ITGB1,Whole cell hit,1.0
ITGB5,Whole cell hit,1.0
ITPK1,Whole cell hit,0.5555555555555555
KATNA1,Whole cell hit,1.0
KCTD10,Whole cell hit,0.2958994708994709
KDM1A,Whole cell hit,0.9791666666666666
KDM5A,Whole cell hit,0.5968253968253967
KIF5B,Whole cell hit,1.0
KPNA6,Whole cell hit,1.0
LAMTOR3,Whole cell hit,1.0
MAD1L1,Whole cell hit,0.5347222222222222
MAP1LC3B,Whole cell hit,0.3571428571428571
MAPK3,Whole cell hit,0.32407407407407407
MCM3,Whole cell hit,0.46527777777777773
MCM5,Whole cell hit,1.0
MED12,Whole cell hit,1.0
MED17,Whole cell hit,0.4805555555555555
MED8,Whole cell hit,0.47777777777777775
MED9,Whole cell hit,0.3472222222222222
MFN2,Whole cell hit,0.8138888888888889
MFSD3,Whole cell hit,0.5099206349206349
MRPL13,Whole cell hit,0.7166666666666666
MRPL28,Whole cell hit,0.44999999999999996
MRPL57,Whole cell hit,0.5182539682539682
MTOR,Whole cell hit,1.0
MYC,Whole cell hit,1.0
NAMPT,Whole cell hit,0.9791666666666666
NCOR1,Whole cell hit,0.8368055555555555
NCSTN,Whole cell hit,0.7194444444444444
NEDD8,Whole cell hit,0.9097222222222222
NMD3,Whole cell hit,0.9201388888888888
NPEPPS,Whole cell hit,1.0
NPRL3,Whole cell hit,0.9513888888888888
NSMCE4A,Whole cell hit,0.9791666666666666
NUP188,Whole cell hit,0.5416666666666666
NUP93,Whole cell hit,0.4905753968253968
PAK2,Whole cell hit,1.0
PDCD6IP,Whole cell hit,0.9583333333333333
PEF1,Whole cell hit,0.7430555555555556
PEX16,Whole cell hit,0.46759259259259256
PHB2,Whole cell hit,0.4027777777777778
PML,Whole cell hit,0.6597222222222222
POGZ,Whole cell hit,0.5405092592592592
POLD2,Whole cell hit,1.0
PPP1CA,Whole cell hit,0.8212962962962963
