Gene,DAPI,Phalloidin,WGA,ConA,Mito,Sum
ACTR2,75.0,18.0,19.0,20.0,68.0,231.0
ACTR3,122.0,21.0,22.0,20.0,87.0,314.0
ALG13,63.0,9.0,13.0,12.0,41.0,149.0
ALG5,18.0,4.0,4.0,5.0,21.0,63.0
ALG8,5.0,4.0,3.0,4.0,17.0,41.0
ANXA2,29.0,6.0,2.0,4.0,8.0,56.0
ARF4,110.0,16.0,21.0,22.0,73.0,286.0
ARPC2,140.0,19.0,22.0,23.0,86.0,329.0
ARPC3,117.0,18.0,19.0,21.0,80.0,303.0
ARPC4,171.0,22.0,24.0,25.0,93.0,408.0
ATF4,7.0,2.0,3.0,3.0,13.0,28.0
ATIC,9.0,3.0,2.0,5.0,12.0,35.0
ATP6V0A1,6.0,1.0,2.0,2.0,6.0,24.0
ATP6V0B,51.0,13.0,15.0,13.0,40.0,153.0
ATP6V0C,106.0,15.0,25.0,23.0,48.0,262.0
ATP6V0D1,13.0,2.0,7.0,6.0,5.0,47.0
ATP6V1H,34.0,12.0,13.0,15.0,32.0,124.0
ATRIP,18.0,3.0,8.0,3.0,19.0,65.0
BRAP,10.0,8.0,3.0,5.0,6.0,26.0
CASC3,3.0,3.0,3.0,4.0,5.0,22.0
CDC73,44.0,2.0,4.0,2.0,8.0,72.0
CDCA2,9.0,8.0,4.0,1.0,12.0,33.0
CDK13,107.0,14.0,12.0,10.0,45.0,236.0
CHMP6,39.0,3.0,4.0,5.0,12.0,80.0
CIAO1,32.0,10.0,11.0,8.0,21.0,93.0
CIT,66.0,7.0,8.0,6.0,26.0,142.0
COG4,76.0,16.0,15.0,13.0,61.0,196.0
COPA,6.0,6.0,6.0,9.0,11.0,47.0
COX14,26.0,4.0,2.0,3.0,8.0,49.0
CPSF1,45.0,5.0,5.0,4.0,15.0,102.0
CPSF3,33.0,5.0,3.0,3.0,13.0,72.0
CPSF6,9.0,5.0,2.0,3.0,2.0,32.0
