Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Perfect	4032	CP_Plate_1-Well5-32	CP_Plate_1	Well5	32	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2755	CP_Plate_1-Well5-32	CP_Plate_1	Well5	32	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1307	CP_Plate_1-Well5-32	CP_Plate_1	Well5	32	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	556	CP_Plate_1-Well5-32	CP_Plate_1	Well5	32	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	499	CP_Plate_1-Well5-32	CP_Plate_1	Well5	32	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3093	CP_Plate_1-Well4-60	CP_Plate_1	Well4	60	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2369	CP_Plate_1-Well4-60	CP_Plate_1	Well4	60	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	739	CP_Plate_1-Well4-60	CP_Plate_1	Well4	60	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	630	CP_Plate_1-Well4-60	CP_Plate_1	Well4	60	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	570	CP_Plate_1-Well4-60	CP_Plate_1	Well4	60	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4291	CP_Plate_1-Well2-44	CP_Plate_1	Well2	44	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3100	CP_Plate_1-Well2-44	CP_Plate_1	Well2	44	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1262	CP_Plate_1-Well2-44	CP_Plate_1	Well2	44	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	408	CP_Plate_1-Well2-44	CP_Plate_1	Well2	44	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	399	CP_Plate_1-Well2-44	CP_Plate_1	Well2	44	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4637	CP_Plate_1-Well3-16	CP_Plate_1	Well3	16	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3458	CP_Plate_1-Well3-16	CP_Plate_1	Well3	16	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	2216	CP_Plate_1-Well3-16	CP_Plate_1	Well3	16	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	536	CP_Plate_1-Well3-16	CP_Plate_1	Well3	16	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	454	CP_Plate_1-Well3-16	CP_Plate_1	Well3	16	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3983	CP_Plate_1-Well1-72	CP_Plate_1	Well1	72	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3026	CP_Plate_1-Well1-72	CP_Plate_1	Well1	72	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1686	CP_Plate_1-Well1-72	CP_Plate_1	Well1	72	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	487	CP_Plate_1-Well1-72	CP_Plate_1	Well1	72	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	471	CP_Plate_1-Well1-72	CP_Plate_1	Well1	72	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	2079	CP_Plate_1-Well6-40	CP_Plate_1	Well6	40	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	1650	CP_Plate_1-Well6-40	CP_Plate_1	Well6	40	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	453	CP_Plate_1-Well6-40	CP_Plate_1	Well6	40	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	447	CP_Plate_1-Well6-40	CP_Plate_1	Well6	40	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	417	CP_Plate_1-Well6-40	CP_Plate_1	Well6	40	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4281	CP_Plate_1-Well1-36	CP_Plate_1	Well1	36	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3543	CP_Plate_1-Well1-36	CP_Plate_1	Well1	36	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	2413	CP_Plate_1-Well1-36	CP_Plate_1	Well1	36	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	793	CP_Plate_1-Well1-36	CP_Plate_1	Well1	36	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	536	CP_Plate_1-Well1-36	CP_Plate_1	Well1	36	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4715	CP_Plate_1-Well4-24	CP_Plate_1	Well4	24	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3412	CP_Plate_1-Well4-24	CP_Plate_1	Well4	24	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	2662	CP_Plate_1-Well4-24	CP_Plate_1	Well4	24	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	655	CP_Plate_1-Well4-24	CP_Plate_1	Well4	24	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	537	CP_Plate_1-Well4-24	CP_Plate_1	Well4	24	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	889	CP_Plate_1-Well2-80	CP_Plate_1	Well2	80	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	580	CP_Plate_1-Well2-80	CP_Plate_1	Well2	80	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	290	CP_Plate_1-Well2-80	CP_Plate_1	Well2	80	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	80	CP_Plate_1-Well2-80	CP_Plate_1	Well2	80	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	69	CP_Plate_1-Well2-80	CP_Plate_1	Well2	80	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3403	CP_Plate_1-Well3-52	CP_Plate_1	Well3	52	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2593	CP_Plate_1-Well3-52	CP_Plate_1	Well3	52	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	895	CP_Plate_1-Well3-52	CP_Plate_1	Well3	52	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	495	CP_Plate_1-Well3-52	CP_Plate_1	Well3	52	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	444	CP_Plate_1-Well3-52	CP_Plate_1	Well3	52	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3060	CP_Plate_1-Well5-50	CP_Plate_1	Well5	50	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2511	CP_Plate_1-Well5-50	CP_Plate_1	Well5	50	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	638	CP_Plate_1-Well5-50	CP_Plate_1	Well5	50	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	537	CP_Plate_1-Well5-50	CP_Plate_1	Well5	50	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	460	CP_Plate_1-Well5-50	CP_Plate_1	Well5	50	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4615	CP_Plate_1-Well6-22	CP_Plate_1	Well6	22	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3111	CP_Plate_1-Well6-22	CP_Plate_1	Well6	22	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1759	CP_Plate_1-Well6-22	CP_Plate_1	Well6	22	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	508	CP_Plate_1-Well6-22	CP_Plate_1	Well6	22	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	467	CP_Plate_1-Well6-22	CP_Plate_1	Well6	22	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4099	CP_Plate_1-Well1-18	CP_Plate_1	Well1	18	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2979	CP_Plate_1-Well1-18	CP_Plate_1	Well1	18	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1771	CP_Plate_1-Well1-18	CP_Plate_1	Well1	18	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	504	CP_Plate_1-Well1-18	CP_Plate_1	Well1	18	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	493	CP_Plate_1-Well1-18	CP_Plate_1	Well1	18	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3794	CP_Plate_1-Well2-62	CP_Plate_1	Well2	62	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2797	CP_Plate_1-Well2-62	CP_Plate_1	Well2	62	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1145	CP_Plate_1-Well2-62	CP_Plate_1	Well2	62	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	507	CP_Plate_1-Well2-62	CP_Plate_1	Well2	62	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	504	CP_Plate_1-Well2-62	CP_Plate_1	Well2	62	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4729	CP_Plate_1-Well3-34	CP_Plate_1	Well3	34	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3475	CP_Plate_1-Well3-34	CP_Plate_1	Well3	34	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1871	CP_Plate_1-Well3-34	CP_Plate_1	Well3	34	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	550	CP_Plate_1-Well3-34	CP_Plate_1	Well3	34	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	465	CP_Plate_1-Well3-34	CP_Plate_1	Well3	34	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4805	CP_Plate_1-Well2-26	CP_Plate_1	Well2	26	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3422	CP_Plate_1-Well2-26	CP_Plate_1	Well2	26	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	2762	CP_Plate_1-Well2-26	CP_Plate_1	Well2	26	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	548	CP_Plate_1-Well2-26	CP_Plate_1	Well2	26	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	475	CP_Plate_1-Well2-26	CP_Plate_1	Well2	26	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4201	CP_Plate_1-Well1-54	CP_Plate_1	Well1	54	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3149	CP_Plate_1-Well1-54	CP_Plate_1	Well1	54	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1700	CP_Plate_1-Well1-54	CP_Plate_1	Well1	54	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	499	CP_Plate_1-Well1-54	CP_Plate_1	Well1	54	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	473	CP_Plate_1-Well1-54	CP_Plate_1	Well1	54	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3378	CP_Plate_1-Well4-42	CP_Plate_1	Well4	42	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2532	CP_Plate_1-Well4-42	CP_Plate_1	Well4	42	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	973	CP_Plate_1-Well4-42	CP_Plate_1	Well4	42	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	532	CP_Plate_1-Well4-42	CP_Plate_1	Well4	42	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	497	CP_Plate_1-Well4-42	CP_Plate_1	Well4	42	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	1897	CP_Plate_1-Well3-70	CP_Plate_1	Well3	70	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	1600	CP_Plate_1-Well3-70	CP_Plate_1	Well3	70	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	473	CP_Plate_1-Well3-70	CP_Plate_1	Well3	70	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	463	CP_Plate_1-Well3-70	CP_Plate_1	Well3	70	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	458	CP_Plate_1-Well3-70	CP_Plate_1	Well3	70	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	5118	CP_Plate_1-Well5-14	CP_Plate_1	Well5	14	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3443	CP_Plate_1-Well5-14	CP_Plate_1	Well5	14	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	2573	CP_Plate_1-Well5-14	CP_Plate_1	Well5	14	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	473	CP_Plate_1-Well5-14	CP_Plate_1	Well5	14	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	420	CP_Plate_1-Well5-14	CP_Plate_1	Well5	14	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4470	CP_Plate_1-Well5-41	CP_Plate_1	Well5	41	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2965	CP_Plate_1-Well5-41	CP_Plate_1	Well5	41	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1567	CP_Plate_1-Well5-41	CP_Plate_1	Well5	41	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	406	CP_Plate_1-Well5-41	CP_Plate_1	Well5	41	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	375	CP_Plate_1-Well5-41	CP_Plate_1	Well5	41	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	2914	CP_Plate_1-Well6-4	CP_Plate_1	Well6	4	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2029	CP_Plate_1-Well6-4	CP_Plate_1	Well6	4	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	944	CP_Plate_1-Well6-4	CP_Plate_1	Well6	4	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	336	CP_Plate_1-Well6-4	CP_Plate_1	Well6	4	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	326	CP_Plate_1-Well6-4	CP_Plate_1	Well6	4	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4572	CP_Plate_1-Well6-13	CP_Plate_1	Well6	13	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3167	CP_Plate_1-Well6-13	CP_Plate_1	Well6	13	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1918	CP_Plate_1-Well6-13	CP_Plate_1	Well6	13	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	466	CP_Plate_1-Well6-13	CP_Plate_1	Well6	13	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	462	CP_Plate_1-Well6-13	CP_Plate_1	Well6	13	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3568	CP_Plate_1-Well2-53	CP_Plate_1	Well2	53	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2591	CP_Plate_1-Well2-53	CP_Plate_1	Well2	53	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	964	CP_Plate_1-Well2-53	CP_Plate_1	Well2	53	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	473	CP_Plate_1-Well2-53	CP_Plate_1	Well2	53	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	423	CP_Plate_1-Well2-53	CP_Plate_1	Well2	53	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4986	CP_Plate_1-Well3-25	CP_Plate_1	Well3	25	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3769	CP_Plate_1-Well3-25	CP_Plate_1	Well3	25	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	3156	CP_Plate_1-Well3-25	CP_Plate_1	Well3	25	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	620	CP_Plate_1-Well3-25	CP_Plate_1	Well3	25	ALLBATCHES___CP_Plate_1___ALLWELLS
