,site_location,Math_PercentConfluent,Metadata_site,Metadata_Well,Metadata_Site,Metadata_Plate
0,5,0.9493949582195172,CP_Plate_2-Well3-5,Well3,5,CP_Plate_2
1,15,6.834009803875676,CP_Plate_1-Well3-15,Well3,15,CP_Plate_1
2,36,1.5716787358080355,CP_Plate_2-Well2-36,Well2,36,CP_Plate_2
3,38,2.4492240637763807,CP_Plate_2-Well4-38,Well4,38,CP_Plate_2
4,45,1.117202627448498,CP_Plate_2-Well1-45,Well1,45,CP_Plate_2
5,46,2.814715680471064,CP_Plate_2-Well1-46,Well1,46,CP_Plate_2
6,46,1.994671957480776,CP_Plate_2-Well4-46,Well4,46,CP_Plate_2
7,50,3.9840352355446784,CP_Plate_2-Well5-50,Well5,50,CP_Plate_2
8,60,6.37063654140113,CP_Plate_1-Well3-60,Well3,60,CP_Plate_1
9,60,4.474993558289081,CP_Plate_1-Well5-60,Well5,60,CP_Plate_1
10,60,2.425851539214427,CP_Plate_2-Well5-60,Well5,60,CP_Plate_2
11,62,2.579374389799914,CP_Plate_2-Well6-62,Well6,62,CP_Plate_2
12,70,8.10062050446502,CP_Plate_1-Well2-70,Well2,70,CP_Plate_1
13,77,7.050876289687663,CP_Plate_2-Well3-77,Well3,77,CP_Plate_2
14,86,12.80871856430761,CP_Plate_1-Well2-86,Well2,86,CP_Plate_1
15,86,1.418518465971025,CP_Plate_1-Well1-86,Well1,86,CP_Plate_1
16,87,3.4953821295451903,CP_Plate_2-Well3-87,Well3,87,CP_Plate_2
17,88,0.985986821961223,CP_Plate_2-Well3-88,Well3,88,CP_Plate_2
18,89,9.15592453909646,CP_Plate_2-Well3-89,Well3,89,CP_Plate_2
19,95,8.492969072381054,CP_Plate_1-Well1-95,Well1,95,CP_Plate_1
20,96,16.744945198088274,CP_Plate_1-Well1-96,Well1,96,CP_Plate_1
21,96,7.511866605710836,CP_Plate_1-Well2-96,Well2,96,CP_Plate_1
