Gene,DAPI,Phalloidin,WGA,ConA,Mito,Sum
ARPC5,4.0,1.0,1.0,1.0,0.0,4.0
CCNI,3.0,1.0,0.0,1.0,1.0,3.0
COQ5,0.0,0.0,0.0,1.0,3.0,4.0
DARS2,2.0,1.0,0.0,3.0,1.0,5.0
DONSON,0.0,0.0,0.0,2.0,2.0,5.0
EIF4A2,3.0,0.0,0.0,0.0,1.0,4.0
ESYT1,5.0,1.0,1.0,1.0,1.0,5.0
ETFA,0.0,2.0,0.0,0.0,0.0,2.0
JTB,0.0,2.0,0.0,1.0,1.0,4.0
MDC1,4.0,0.0,0.0,0.0,0.0,5.0
MRPL27,1.0,2.0,1.0,0.0,0.0,5.0
MRPL37,0.0,2.0,0.0,0.0,2.0,5.0
MRPL55,0.0,2.0,0.0,0.0,0.0,5.0
MRPS5,3.0,2.0,1.0,0.0,0.0,5.0
NDEL1,0.0,0.0,1.0,0.0,3.0,4.0
NDUFA10,0.0,2.0,0.0,0.0,0.0,2.0
NDUFS2,5.0,2.0,1.0,1.0,1.0,5.0
PACS2,3.0,0.0,0.0,0.0,1.0,5.0
SCO1,0.0,0.0,0.0,0.0,3.0,3.0
SEPHS2,0.0,0.0,2.0,0.0,2.0,5.0
UBQLN2,1.0,1.0,1.0,0.0,3.0,5.0
YWHAH,0.0,0.0,1.0,2.0,1.0,4.0
