gene,group,mAP
ABCF1,Whole cell hit,0.5794642857142857
ACTR2,Whole cell hit,0.9002976190476191
ACTR3,Whole cell hit,0.9375
ALG13,Whole cell hit,0.8979166666666667
ALG5,Whole cell hit,0.9791666666666666
ALG6,Whole cell hit,1.0
ALG8,Whole cell hit,0.5952380952380952
ANXA2,Whole cell hit,0.7333333333333333
AP3S1,Whole cell hit,0.33796296296296297
ARF4,Whole cell hit,0.9791666666666666
ARNTL,Whole cell hit,0.5131944444444444
ARPC2,Whole cell hit,0.8888888888888888
ARPC3,Whole cell hit,0.9666666666666667
ARPC4,Whole cell hit,1.0
ATF4,Whole cell hit,0.9666666666666667
ATG14,Whole cell hit,0.7645833333333332
ATIC,Whole cell hit,0.75
ATL2,Whole cell hit,1.0
ATP6V0B,Whole cell hit,1.0
ATP6V0C,Whole cell hit,1.0
ATP6V0D1,Whole cell hit,0.8055555555555555
ATP6V1H,Whole cell hit,1.0
BRAP,Whole cell hit,0.41130952380952385
CASC3,Whole cell hit,0.869047619047619
CDC73,Whole cell hit,0.40555555555555556
CDCA2,Whole cell hit,0.6055555555555555
CDK13,Whole cell hit,0.9791666666666666
CENPK,Whole cell hit,0.22658730158730156
CHMP6,Whole cell hit,0.7259920634920636
CHP1,Whole cell hit,0.6245039682539681
CIAO1,Whole cell hit,1.0
CIT,Whole cell hit,0.6666666666666666
COG3,Whole cell hit,0.8333333333333333
COG4,Whole cell hit,1.0
COPA,Whole cell hit,0.4438492063492064
COX14,Whole cell hit,0.53125
COX17,Whole cell hit,0.8291666666666666
COX4I1,Whole cell hit,1.0
COX7B,Whole cell hit,0.7291666666666666
COX7C,Whole cell hit,0.6268518518518519
COX8A,Whole cell hit,0.4875992063492063
CPSF1,Whole cell hit,1.0
CPSF3,Whole cell hit,1.0
CPSF6,Whole cell hit,0.9791666666666666
CRKL,Whole cell hit,1.0
CSE1L,Whole cell hit,0.6953373015873016
CYCS,Whole cell hit,0.6106150793650793
DCAF15,Whole cell hit,0.8759920634920634
DCTN5,Whole cell hit,1.0
DDX6,Whole cell hit,1.0
DHX35,Whole cell hit,1.0
DNA2,Whole cell hit,0.18888888888888888
DNAJC24,Whole cell hit,0.9791666666666666
DNM1L,Whole cell hit,1.0
DPH2,Whole cell hit,0.47685185185185186
DRG2,Whole cell hit,0.6180555555555556
DVL1,Whole cell hit,0.5923611111111111
DVL3,Whole cell hit,0.19603174603174603
DYNLL1,Whole cell hit,1.0
EEF1G,Whole cell hit,1.0
EEF2,Whole cell hit,0.875
EIF2AK4,Whole cell hit,1.0
EIF2B1,Whole cell hit,0.8333333333333333
EIF2B2,Whole cell hit,1.0
EIF2B3,Whole cell hit,0.773611111111111
EIF2B4,Whole cell hit,0.4444444444444444
EIF2B5,Whole cell hit,0.5
EIF2S3,Whole cell hit,0.4932539682539682
EIF3C,Whole cell hit,0.43055555555555547
EIF3H,Whole cell hit,1.0
EIF3L,Whole cell hit,0.9513888888888888
EIF4A1,Whole cell hit,1.0
EIF4A2,Whole cell hit,0.32638888888888884
EIF4B,Whole cell hit,0.6794642857142856
EIF4E,Whole cell hit,0.8194444444444444
EIF4EBP1,Whole cell hit,0.8083333333333333
EIF5,Whole cell hit,0.8124999999999999
ENO1,Whole cell hit,1.0
EPC1,Whole cell hit,0.8310185185185185
ERCC2,Whole cell hit,0.5
ETFA,Whole cell hit,0.29027777777777775
EXOC3,Whole cell hit,0.9791666666666666
FAM193A,Whole cell hit,0.6472222222222221
FANCI,Whole cell hit,0.9125
FGFR1,Whole cell hit,0.7500661375661375
FIP1L1,Whole cell hit,0.675
