Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,Sum
ADAR,21.0,3.0,4.0,12.0,7.0,7.0,5.0,12.0,6.0,13.0,5.0,8.0,7.0,81.0
ANAPC10,8.0,7.0,9.0,1.0,1.0,6.0,3.0,8.0,6.0,3.0,4.0,4.0,1.0,48.0
ARPC1B,4.0,6.0,7.0,8.0,1.0,8.0,7.0,1.0,11.0,12.0,6.0,5.0,2.0,53.0
ARPC5,8.0,12.0,6.0,4.0,1.0,4.0,4.0,5.0,14.0,9.0,9.0,33.0,5.0,89.0
ATP6V0A1,3.0,8.0,6.0,9.0,3.0,6.0,3.0,25.0,8.0,13.0,2.0,2.0,1.0,53.0
ATP6V0E1,1.0,3.0,0.0,2.0,7.0,9.0,5.0,5.0,0.0,5.0,10.0,4.0,7.0,51.0
BAK1,4.0,7.0,5.0,3.0,0.0,6.0,6.0,8.0,5.0,29.0,4.0,21.0,4.0,68.0
BARD1,8.0,4.0,6.0,3.0,2.0,9.0,4.0,9.0,4.0,11.0,7.0,4.0,3.0,62.0
CANX,6.0,3.0,1.0,1.0,0.0,6.0,1.0,3.0,1.0,4.0,3.0,2.0,0.0,21.0
CAT,3.0,0.0,7.0,1.0,6.0,6.0,33.0,9.0,3.0,1.0,16.0,5.0,2.0,57.0
CCT4,8.0,1.0,13.0,3.0,1.0,4.0,9.0,21.0,10.0,1.0,14.0,1.0,2.0,79.0
COA5,4.0,2.0,4.0,1.0,0.0,6.0,3.0,3.0,0.0,10.0,5.0,6.0,0.0,28.0
COPZ1,6.0,6.0,10.0,3.0,2.0,7.0,14.0,14.0,3.0,6.0,7.0,11.0,5.0,74.0
COQ5,10.0,5.0,7.0,1.0,3.0,2.0,5.0,29.0,6.0,7.0,5.0,13.0,7.0,78.0
CRY1,12.0,8.0,5.0,12.0,5.0,4.0,7.0,32.0,2.0,4.0,7.0,6.0,6.0,77.0
DARS2,3.0,7.0,4.0,8.0,3.0,9.0,7.0,3.0,0.0,30.0,12.0,6.0,2.0,67.0
DDA1,8.0,4.0,6.0,0.0,4.0,2.0,4.0,3.0,3.0,3.0,14.0,6.0,7.0,51.0
DHX8,13.0,3.0,6.0,4.0,4.0,7.0,10.0,13.0,7.0,6.0,10.0,6.0,4.0,70.0
DLG1,4.0,5.0,10.0,12.0,5.0,3.0,4.0,5.0,1.0,6.0,5.0,4.0,4.0,49.0
ECI1,0.0,3.0,4.0,2.0,2.0,5.0,6.0,7.0,2.0,16.0,1.0,1.0,2.0,31.0
ECSIT,6.0,7.0,2.0,8.0,6.0,6.0,8.0,23.0,8.0,2.0,4.0,2.0,5.0,51.0
EIF2D,3.0,12.0,20.0,5.0,1.0,3.0,11.0,6.0,13.0,6.0,7.0,15.0,3.0,64.0
EIF3E,13.0,8.0,4.0,13.0,2.0,1.0,8.0,10.0,18.0,1.0,13.0,4.0,5.0,77.0
ESRP2,3.0,5.0,8.0,11.0,1.0,9.0,22.0,15.0,21.0,21.0,10.0,5.0,4.0,88.0
HAUS8,13.0,2.0,2.0,3.0,4.0,1.0,11.0,9.0,1.0,1.0,3.0,7.0,3.0,54.0
HDAC2,0.0,22.0,7.0,1.0,0.0,4.0,2.0,3.0,4.0,20.0,2.0,4.0,1.0,51.0
HMCES,4.0,2.0,7.0,10.0,3.0,1.0,9.0,10.0,8.0,14.0,9.0,7.0,4.0,66.0
IARS2,7.0,16.0,3.0,11.0,1.0,4.0,8.0,22.0,6.0,10.0,8.0,6.0,4.0,90.0
ISL1,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,11.0,16.0
JTB,4.0,21.0,10.0,5.0,2.0,8.0,10.0,9.0,5.0,17.0,11.0,26.0,9.0,93.0
LTA4H,14.0,12.0,9.0,8.0,6.0,3.0,5.0,31.0,1.0,4.0,10.0,12.0,3.0,91.0
M6PR,6.0,12.0,15.0,3.0,0.0,3.0,8.0,24.0,17.0,5.0,3.0,10.0,4.0,74.0
MAP1S,10.0,20.0,10.0,5.0,0.0,3.0,7.0,9.0,4.0,1.0,2.0,8.0,2.0,55.0
MCOLN1,7.0,9.0,0.0,12.0,4.0,4.0,3.0,14.0,17.0,1.0,2.0,7.0,4.0,53.0
MED1,1.0,1.0,19.0,7.0,10.0,10.0,16.0,29.0,10.0,8.0,5.0,5.0,17.0,87.0
MFSD3,7.0,2.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,10.0,14.0,8.0,5.0,50.0
MRPL24,4.0,8.0,0.0,4.0,2.0,8.0,3.0,5.0,5.0,13.0,2.0,17.0,3.0,48.0
MRPL27,3.0,12.0,13.0,12.0,3.0,11.0,5.0,38.0,2.0,23.0,4.0,8.0,6.0,91.0
MRPL37,5.0,3.0,1.0,8.0,7.0,9.0,3.0,15.0,0.0,13.0,4.0,8.0,8.0,72.0
MRPL49,3.0,1.0,4.0,4.0,4.0,5.0,30.0,18.0,10.0,3.0,5.0,7.0,6.0,67.0
MRPS15,7.0,8.0,7.0,11.0,2.0,8.0,5.0,18.0,9.0,20.0,9.0,8.0,7.0,88.0
MRPS9,7.0,1.0,7.0,6.0,3.0,6.0,7.0,19.0,3.0,8.0,2.0,4.0,6.0,54.0
NAMPT,7.0,12.0,5.0,2.0,0.0,3.0,6.0,12.0,9.0,1.0,16.0,12.0,4.0,66.0
NCSTN,1.0,0.0,3.0,4.0,5.0,8.0,6.0,12.0,8.0,14.0,7.0,3.0,1.0,46.0
NDUFA4,8.0,6.0,6.0,6.0,4.0,7.0,7.0,55.0,2.0,3.0,8.0,3.0,9.0,82.0
NDUFA7,10.0,8.0,5.0,9.0,5.0,1.0,8.0,10.0,3.0,2.0,4.0,2.0,2.0,50.0
NDUFAF7,1.0,3.0,3.0,1.0,4.0,0.0,3.0,30.0,4.0,3.0,3.0,2.0,3.0,39.0
NDUFB3,4.0,4.0,3.0,5.0,9.0,3.0,2.0,17.0,0.0,2.0,5.0,2.0,3.0,41.0
NDUFB7,2.0,3.0,9.0,1.0,2.0,2.0,5.0,40.0,11.0,2.0,7.0,2.0,3.0,68.0
NDUFS2,5.0,6.0,9.0,2.0,1.0,5.0,3.0,36.0,5.0,2.0,7.0,14.0,2.0,72.0
NDUFS3,1.0,4.0,3.0,0.0,1.0,2.0,31.0,7.0,1.0,1.0,6.0,7.0,5.0,44.0
NUDT12,11.0,2.0,1.0,1.0,3.0,5.0,3.0,6.0,0.0,3.0,3.0,9.0,35.0,58.0
NUP93,4.0,12.0,10.0,6.0,5.0,15.0,10.0,10.0,7.0,10.0,7.0,7.0,11.0,88.0
OST4,2.0,1.0,2.0,2.0,1.0,6.0,4.0,9.0,27.0,8.0,11.0,5.0,0.0,50.0
