Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,Sum
ABCF1,8.0,20.0,14.0,20.0,6.0,22.0,22.0,37.0,25.0,33.0,15.0,13.0,26.0,197.0
ACTR2,120.0,103.0,91.0,95.0,80.0,87.0,93.0,116.0,60.0,75.0,148.0,94.0,89.0,1023.0
ACTR3,91.0,87.0,85.0,66.0,67.0,70.0,78.0,103.0,62.0,54.0,124.0,71.0,73.0,837.0
ALG13,67.0,37.0,52.0,95.0,24.0,38.0,38.0,80.0,83.0,82.0,75.0,52.0,31.0,599.0
ALG5,17.0,21.0,36.0,90.0,5.0,15.0,22.0,27.0,118.0,19.0,15.0,27.0,3.0,310.0
ALG6,11.0,13.0,24.0,91.0,4.0,16.0,15.0,14.0,118.0,28.0,15.0,12.0,6.0,257.0
ALG8,3.0,4.0,8.0,26.0,2.0,5.0,6.0,6.0,70.0,5.0,6.0,6.0,5.0,111.0
ANXA2,31.0,9.0,40.0,34.0,14.0,22.0,21.0,46.0,17.0,17.0,19.0,7.0,14.0,206.0
AP3S1,14.0,19.0,8.0,2.0,6.0,9.0,13.0,29.0,6.0,5.0,14.0,16.0,27.0,117.0
ARF4,58.0,60.0,53.0,50.0,43.0,46.0,44.0,93.0,42.0,60.0,77.0,32.0,32.0,553.0
ARNTL,6.0,3.0,4.0,5.0,13.0,18.0,29.0,28.0,5.0,8.0,19.0,12.0,18.0,117.0
ARPC2,84.0,76.0,75.0,69.0,64.0,69.0,61.0,92.0,47.0,62.0,120.0,71.0,70.0,788.0
ARPC3,74.0,80.0,95.0,72.0,57.0,65.0,83.0,102.0,50.0,57.0,103.0,44.0,69.0,772.0
ARPC4,148.0,133.0,127.0,119.0,98.0,102.0,118.0,146.0,65.0,106.0,184.0,113.0,116.0,1298.0
ATF4,5.0,22.0,43.0,20.0,4.0,17.0,21.0,12.0,22.0,17.0,19.0,16.0,16.0,190.0
ATG14,32.0,6.0,10.0,21.0,10.0,6.0,21.0,26.0,12.0,5.0,15.0,22.0,18.0,168.0
ATIC,34.0,73.0,34.0,30.0,27.0,50.0,26.0,43.0,34.0,75.0,61.0,26.0,25.0,450.0
ATL2,25.0,37.0,63.0,57.0,21.0,47.0,42.0,48.0,55.0,58.0,39.0,54.0,29.0,397.0
