feature_name	compartment	prefilter_column
Metadata_Cells_ImageNumber	Cells	False
Metadata_Cells_ObjectNumber	Cells	False
Metadata_Cells_Parent_Nuclei	Cells	False
Metadata_Cytoplasm_ImageNumber	Cytoplasm	False
Metadata_Cytoplasm_ObjectNumber	Cytoplasm	False
Metadata_Cytoplasm_Parent_Cells	Cytoplasm	False
Metadata_Cytoplasm_Parent_Nuclei	Cytoplasm	False
Metadata_Nuclei_ImageNumber	Nuclei	False
Metadata_Nuclei_ObjectNumber	Nuclei	False
Cells_AreaShape_Area	Cells	False
Cells_AreaShape_BoundingBoxArea	Cells	False
Cells_AreaShape_BoundingBoxMaximum_X	Cells	False
Cells_AreaShape_BoundingBoxMaximum_Y	Cells	False
Cells_AreaShape_BoundingBoxMinimum_X	Cells	False
Cells_AreaShape_BoundingBoxMinimum_Y	Cells	False
Cells_AreaShape_Center_X	Cells	False
Cells_AreaShape_Center_Y	Cells	False
Cells_AreaShape_CentralMoment_0_0	Cells	False
Cells_AreaShape_CentralMoment_0_1	Cells	False
Cells_AreaShape_CentralMoment_0_2	Cells	False
Cells_AreaShape_CentralMoment_0_3	Cells	False
Cells_AreaShape_CentralMoment_1_0	Cells	False
Cells_AreaShape_CentralMoment_1_1	Cells	False
Cells_AreaShape_CentralMoment_1_2	Cells	False
Cells_AreaShape_CentralMoment_1_3	Cells	False
Cells_AreaShape_CentralMoment_2_0	Cells	False
Cells_AreaShape_CentralMoment_2_1	Cells	False
Cells_AreaShape_CentralMoment_2_2	Cells	False
Cells_AreaShape_CentralMoment_2_3	Cells	False
Cells_AreaShape_Compactness	Cells	False
Cells_AreaShape_ConvexArea	Cells	False
Cells_AreaShape_Eccentricity	Cells	False
Cells_AreaShape_EquivalentDiameter	Cells	False
Cells_AreaShape_EulerNumber	Cells	False
Cells_AreaShape_Extent	Cells	False
Cells_AreaShape_FormFactor	Cells	False
Cells_AreaShape_HuMoment_0	Cells	False
Cells_AreaShape_HuMoment_1	Cells	False
Cells_AreaShape_HuMoment_2	Cells	False
Cells_AreaShape_HuMoment_3	Cells	False
Cells_AreaShape_HuMoment_4	Cells	False
Cells_AreaShape_HuMoment_5	Cells	False
Cells_AreaShape_HuMoment_6	Cells	False
Cells_AreaShape_InertiaTensorEigenvalues_0	Cells	False
Cells_AreaShape_InertiaTensorEigenvalues_1	Cells	False
Cells_AreaShape_InertiaTensor_0_0	Cells	False
Cells_AreaShape_InertiaTensor_0_1	Cells	False
Cells_AreaShape_InertiaTensor_1_0	Cells	False
Cells_AreaShape_InertiaTensor_1_1	Cells	False
Cells_AreaShape_MajorAxisLength	Cells	False
Cells_AreaShape_MaxFeretDiameter	Cells	False
Cells_AreaShape_MaximumRadius	Cells	False
Cells_AreaShape_MeanRadius	Cells	False
Cells_AreaShape_MedianRadius	Cells	False
Cells_AreaShape_MinFeretDiameter	Cells	False
Cells_AreaShape_MinorAxisLength	Cells	False
Cells_AreaShape_NormalizedMoment_0_0	Cells	False
Cells_AreaShape_NormalizedMoment_0_1	Cells	False
Cells_AreaShape_NormalizedMoment_0_2	Cells	False
Cells_AreaShape_NormalizedMoment_0_3	Cells	False
Cells_AreaShape_NormalizedMoment_1_0	Cells	False
Cells_AreaShape_NormalizedMoment_1_1	Cells	False
Cells_AreaShape_NormalizedMoment_1_2	Cells	False
Cells_AreaShape_NormalizedMoment_1_3	Cells	False
Cells_AreaShape_NormalizedMoment_2_0	Cells	False
Cells_AreaShape_NormalizedMoment_2_1	Cells	False
Cells_AreaShape_NormalizedMoment_2_2	Cells	False
Cells_AreaShape_NormalizedMoment_2_3	Cells	False
Cells_AreaShape_NormalizedMoment_3_0	Cells	False
Cells_AreaShape_NormalizedMoment_3_1	Cells	False
Cells_AreaShape_NormalizedMoment_3_2	Cells	False
Cells_AreaShape_NormalizedMoment_3_3	Cells	False
Cells_AreaShape_Orientation	Cells	False
Cells_AreaShape_Perimeter	Cells	False
Cells_AreaShape_Solidity	Cells	False
Cells_AreaShape_SpatialMoment_0_0	Cells	False
Cells_AreaShape_SpatialMoment_0_1	Cells	False
Cells_AreaShape_SpatialMoment_0_2	Cells	False
Cells_AreaShape_SpatialMoment_0_3	Cells	False
Cells_AreaShape_SpatialMoment_1_0	Cells	False
Cells_AreaShape_SpatialMoment_1_1	Cells	False
Cells_AreaShape_SpatialMoment_1_2	Cells	False
Cells_AreaShape_SpatialMoment_1_3	Cells	False
Cells_AreaShape_SpatialMoment_2_0	Cells	False
Cells_AreaShape_SpatialMoment_2_1	Cells	False
Cells_AreaShape_SpatialMoment_2_2	Cells	False
Cells_AreaShape_SpatialMoment_2_3	Cells	False
Cells_AreaShape_Zernike_0_0	Cells	False
Cells_AreaShape_Zernike_1_1	Cells	False
Cells_AreaShape_Zernike_2_0	Cells	False
Cells_AreaShape_Zernike_2_2	Cells	False
Cells_AreaShape_Zernike_3_1	Cells	False
Cells_AreaShape_Zernike_3_3	Cells	False
Cells_AreaShape_Zernike_4_0	Cells	False
Cells_AreaShape_Zernike_4_2	Cells	False
Cells_AreaShape_Zernike_4_4	Cells	False
Cells_AreaShape_Zernike_5_1	Cells	False
Cells_AreaShape_Zernike_5_3	Cells	False
Cells_AreaShape_Zernike_5_5	Cells	False
Cells_AreaShape_Zernike_6_0	Cells	False
Cells_AreaShape_Zernike_6_2	Cells	False
Cells_AreaShape_Zernike_6_4	Cells	False
Cells_AreaShape_Zernike_6_6	Cells	False
Cells_AreaShape_Zernike_7_1	Cells	False
Cells_AreaShape_Zernike_7_3	Cells	False
Cells_AreaShape_Zernike_7_5	Cells	False
Cells_AreaShape_Zernike_7_7	Cells	False
Cells_AreaShape_Zernike_8_0	Cells	False
Cells_AreaShape_Zernike_8_2	Cells	False
Cells_AreaShape_Zernike_8_4	Cells	False
Cells_AreaShape_Zernike_8_6	Cells	False
Cells_AreaShape_Zernike_8_8	Cells	False
Cells_AreaShape_Zernike_9_1	Cells	False
Cells_AreaShape_Zernike_9_3	Cells	False
Cells_AreaShape_Zernike_9_5	Cells	False
Cells_AreaShape_Zernike_9_7	Cells	False
Cells_AreaShape_Zernike_9_9	Cells	False
Cells_Children_BarcodeFoci_Count	Cells	True
Cells_Children_Cytoplasm_Count	Cells	True
Cells_Children_ResizeCells_Count	Cells	True
Cells_Correlation_Correlation_COXIV_Calnexin	Cells	False
Cells_Correlation_Correlation_COXIV_Catalase	Cells	False
Cells_Correlation_Correlation_COXIV_ConA	Cells	False
Cells_Correlation_Correlation_COXIV_Cycle01_DAPI	Cells	False
Cells_Correlation_Correlation_COXIV_DNA	Cells	False
Cells_Correlation_Correlation_COXIV_G3BP1	Cells	False
Cells_Correlation_Correlation_COXIV_GM130	Cells	False
Cells_Correlation_Correlation_COXIV_LAMP1	Cells	False
Cells_Correlation_Correlation_COXIV_NfKb	Cells	False
Cells_Correlation_Correlation_COXIV_PRSP6	Cells	False
Cells_Correlation_Correlation_COXIV_Phalloidin	Cells	False
Cells_Correlation_Correlation_COXIV_Syto9	Cells	False
Cells_Correlation_Correlation_COXIV_TDP43	Cells	False
Cells_Correlation_Correlation_COXIV_WGA	Cells	False
Cells_Correlation_Correlation_COXIV_btubulin	Cells	False
Cells_Correlation_Correlation_Calnexin_Catalase	Cells	False
Cells_Correlation_Correlation_Calnexin_ConA	Cells	False
Cells_Correlation_Correlation_Calnexin_Cycle01_DAPI	Cells	False
Cells_Correlation_Correlation_Calnexin_DNA	Cells	False
Cells_Correlation_Correlation_Calnexin_G3BP1	Cells	False
Cells_Correlation_Correlation_Calnexin_GM130	Cells	False
Cells_Correlation_Correlation_Calnexin_LAMP1	Cells	False
Cells_Correlation_Correlation_Calnexin_NfKb	Cells	False
Cells_Correlation_Correlation_Calnexin_PRSP6	Cells	False
Cells_Correlation_Correlation_Calnexin_Phalloidin	Cells	False
Cells_Correlation_Correlation_Calnexin_Syto9	Cells	False
Cells_Correlation_Correlation_Calnexin_TDP43	Cells	False
Cells_Correlation_Correlation_Calnexin_WGA	Cells	False
Cells_Correlation_Correlation_Calnexin_btubulin	Cells	False
Cells_Correlation_Correlation_Catalase_ConA	Cells	False
Cells_Correlation_Correlation_Catalase_Cycle01_DAPI	Cells	False
Cells_Correlation_Correlation_Catalase_DNA	Cells	False
Cells_Correlation_Correlation_Catalase_G3BP1	Cells	False
Cells_Correlation_Correlation_Catalase_GM130	Cells	False
Cells_Correlation_Correlation_Catalase_LAMP1	Cells	False
Cells_Correlation_Correlation_Catalase_NfKb	Cells	False
Cells_Correlation_Correlation_Catalase_PRSP6	Cells	False
Cells_Correlation_Correlation_Catalase_Phalloidin	Cells	False
Cells_Correlation_Correlation_Catalase_Syto9	Cells	False
Cells_Correlation_Correlation_Catalase_TDP43	Cells	False
Cells_Correlation_Correlation_Catalase_WGA	Cells	False
Cells_Correlation_Correlation_Catalase_btubulin	Cells	False
Cells_Correlation_Correlation_ConA_Cycle01_DAPI	Cells	False
Cells_Correlation_Correlation_ConA_DNA	Cells	False
Cells_Correlation_Correlation_ConA_G3BP1	Cells	False
Cells_Correlation_Correlation_ConA_GM130	Cells	False
Cells_Correlation_Correlation_ConA_LAMP1	Cells	False
Cells_Correlation_Correlation_ConA_NfKb	Cells	False
Cells_Correlation_Correlation_ConA_PRSP6	Cells	False
Cells_Correlation_Correlation_ConA_Phalloidin	Cells	False
Cells_Correlation_Correlation_ConA_Syto9	Cells	False
Cells_Correlation_Correlation_ConA_TDP43	Cells	False
Cells_Correlation_Correlation_ConA_WGA	Cells	False
Cells_Correlation_Correlation_ConA_btubulin	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_DNA	Cells	False
Cells_Correlation_Correlation_Cycle01_DAPI_G3BP1	Cells	False
