Cell_Quality	Metadata_dataset_split	cell_count
Perfect	ALLBATCHES___SABER_Plate_1___ALLWELLS	1669798
Perfect	ALLBATCHES___SABER_Plate_2___ALLWELLS	1399644
Perfect	ALLBATCHES___SABER_Plate_4___ALLWELLS	1210277
Great	ALLBATCHES___SABER_Plate_1___ALLWELLS	463043
Great	ALLBATCHES___SABER_Plate_2___ALLWELLS	487007
Great	ALLBATCHES___SABER_Plate_4___ALLWELLS	1117830
Imperfect	ALLBATCHES___SABER_Plate_1___ALLWELLS	443595
Imperfect	ALLBATCHES___SABER_Plate_2___ALLWELLS	398505
Imperfect	ALLBATCHES___SABER_Plate_4___ALLWELLS	333885
Bad	ALLBATCHES___SABER_Plate_1___ALLWELLS	1498005
Bad	ALLBATCHES___SABER_Plate_2___ALLWELLS	1158162
Bad	ALLBATCHES___SABER_Plate_4___ALLWELLS	993044
Empty	ALLBATCHES___SABER_Plate_1___ALLWELLS	924994
Empty	ALLBATCHES___SABER_Plate_2___ALLWELLS	757093
Empty	ALLBATCHES___SABER_Plate_4___ALLWELLS	906961
