Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
ADAR,23.0,3.0,4.0,12.0,7.0,7.0,6.0,6.0,12.0,6.0,13.0,6.0,8.0,12.0,9.0,96.0
ANAPC10,8.0,7.0,9.0,1.0,3.0,8.0,4.0,3.0,9.0,6.0,5.0,4.0,4.0,1.0,5.0,57.0
ARPC1B,4.0,7.0,7.0,9.0,1.0,9.0,3.0,7.0,1.0,11.0,12.0,6.0,5.0,3.0,3.0,59.0
ARPC5,8.0,12.0,6.0,4.0,1.0,4.0,1.0,4.0,5.0,15.0,9.0,9.0,33.0,3.0,3.0,92.0
ATP6V0A1,4.0,8.0,8.0,12.0,3.0,8.0,37.0,6.0,34.0,8.0,13.0,7.0,3.0,5.0,12.0,98.0
ATP6V0E1,1.0,3.0,0.0,2.0,5.0,10.0,10.0,4.0,5.0,0.0,5.0,11.0,5.0,5.0,5.0,63.0
BAK1,4.0,7.0,5.0,3.0,0.0,6.0,3.0,6.0,8.0,5.0,30.0,4.0,21.0,6.0,1.0,72.0
BARD1,8.0,4.0,5.0,4.0,2.0,9.0,1.0,4.0,8.0,4.0,11.0,8.0,4.0,2.0,4.0,65.0
CAT,3.0,0.0,9.0,2.0,7.0,7.0,8.0,37.0,9.0,4.0,3.0,16.0,5.0,4.0,5.0,71.0
CNOT7,7.0,2.0,18.0,8.0,3.0,3.0,12.0,5.0,11.0,5.0,4.0,5.0,0.0,6.0,7.0,69.0
COPZ1,7.0,6.0,11.0,5.0,2.0,10.0,6.0,14.0,14.0,3.0,7.0,6.0,11.0,4.0,8.0,86.0
COQ5,10.0,5.0,7.0,1.0,3.0,2.0,10.0,5.0,36.0,7.0,7.0,5.0,13.0,11.0,5.0,92.0
CRY1,13.0,10.0,4.0,12.0,5.0,4.0,8.0,7.0,32.0,2.0,4.0,10.0,7.0,4.0,5.0,87.0
DARS2,3.0,6.0,4.0,8.0,3.0,10.0,4.0,7.0,3.0,0.0,30.0,12.0,7.0,0.0,1.0,71.0
DHX8,13.0,3.0,6.0,4.0,5.0,9.0,5.0,10.0,14.0,9.0,5.0,9.0,5.0,5.0,7.0,80.0
DLG1,4.0,5.0,10.0,11.0,4.0,4.0,0.0,4.0,5.0,1.0,6.0,5.0,4.0,3.0,1.0,49.0
DOCK2,8.0,3.0,2.0,4.0,2.0,1.0,33.0,10.0,8.0,4.0,1.0,10.0,6.0,5.0,6.0,68.0
ECI1,0.0,3.0,4.0,2.0,2.0,5.0,2.0,6.0,6.0,3.0,18.0,1.0,1.0,2.0,2.0,34.0
ECSIT,6.0,7.0,2.0,8.0,4.0,8.0,9.0,9.0,25.0,7.0,3.0,5.0,2.0,7.0,10.0,65.0
EIF2D,3.0,12.0,23.0,5.0,1.0,3.0,3.0,11.0,6.0,13.0,6.0,7.0,15.0,3.0,2.0,68.0
EIF3E,14.0,8.0,4.0,17.0,2.0,1.0,4.0,8.0,11.0,20.0,1.0,13.0,4.0,6.0,9.0,91.0
HAUS8,14.0,2.0,2.0,4.0,6.0,1.0,12.0,10.0,9.0,1.0,1.0,3.0,8.0,2.0,10.0,74.0
HDAC2,0.0,22.0,8.0,1.0,0.0,4.0,3.0,2.0,5.0,4.0,21.0,2.0,4.0,1.0,1.0,55.0
HMCES,5.0,2.0,8.0,12.0,2.0,1.0,5.0,9.0,12.0,8.0,14.0,8.0,7.0,4.0,4.0,73.0
ISL1,0.0,0.0,1.0,5.0,4.0,4.0,20.0,4.0,3.0,2.0,3.0,4.0,1.0,13.0,5.0,39.0
ITFG2,3.0,2.0,8.0,0.0,2.0,3.0,24.0,6.0,5.0,2.0,1.0,1.0,3.0,3.0,2.0,43.0
MAP1S,11.0,20.0,10.0,5.0,0.0,3.0,4.0,8.0,9.0,5.0,1.0,4.0,8.0,2.0,1.0,60.0
MCOLN1,8.0,9.0,0.0,12.0,3.0,4.0,16.0,5.0,18.0,21.0,1.0,3.0,7.0,5.0,7.0,73.0
MRNIP,3.0,7.0,1.0,2.0,4.0,1.0,15.0,2.0,6.0,5.0,4.0,10.0,6.0,0.0,2.0,45.0
MRPL24,4.0,8.0,0.0,4.0,2.0,9.0,6.0,3.0,6.0,6.0,14.0,2.0,17.0,2.0,2.0,55.0
MRPL37,5.0,3.0,1.0,9.0,7.0,9.0,11.0,4.0,22.0,0.0,13.0,4.0,8.0,11.0,9.0,91.0
MRPL49,3.0,1.0,5.0,6.0,6.0,9.0,11.0,33.0,24.0,11.0,3.0,5.0,7.0,9.0,18.0,95.0
MRPS15,7.0,8.0,7.0,11.0,2.0,8.0,6.0,5.0,23.0,9.0,21.0,9.0,8.0,9.0,4.0,97.0
NCSTN,1.0,1.0,4.0,7.0,5.0,9.0,12.0,7.0,12.0,10.0,13.0,9.0,3.0,3.0,2.0,60.0
NDUFA4,8.0,6.0,6.0,6.0,5.0,9.0,7.0,7.0,59.0,2.0,3.0,8.0,3.0,12.0,6.0,92.0
NDUFA7,11.0,8.0,6.0,9.0,4.0,1.0,8.0,8.0,13.0,4.0,2.0,4.0,2.0,2.0,2.0,59.0
NDUFAF7,1.0,3.0,3.0,1.0,4.0,0.0,9.0,3.0,37.0,4.0,3.0,3.0,2.0,3.0,3.0,51.0
NDUFB3,5.0,4.0,3.0,5.0,8.0,3.0,4.0,2.0,18.0,0.0,2.0,5.0,2.0,6.0,8.0,52.0
NDUFB7,2.0,3.0,11.0,1.0,2.0,2.0,6.0,4.0,42.0,11.0,2.0,7.0,2.0,5.0,5.0,77.0
NDUFC2,0.0,3.0,2.0,0.0,1.0,0.0,6.0,4.0,25.0,0.0,0.0,1.0,3.0,9.0,3.0,35.0
NDUFS2,5.0,6.0,9.0,2.0,2.0,7.0,5.0,3.0,38.0,5.0,2.0,7.0,14.0,5.0,3.0,80.0
NDUFS3,1.0,4.0,4.0,0.0,1.0,2.0,2.0,33.0,7.0,1.0,1.0,6.0,7.0,9.0,6.0,52.0
NUP93,4.0,13.0,12.0,6.0,5.0,16.0,5.0,9.0,8.0,7.0,11.0,6.0,7.0,13.0,9.0,98.0
OST4,2.0,1.0,2.0,2.0,1.0,6.0,4.0,4.0,10.0,30.0,8.0,11.0,5.0,1.0,1.0,55.0
PACS2,7.0,1.0,7.0,3.0,2.0,2.0,3.0,18.0,32.0,6.0,2.0,9.0,7.0,5.0,13.0,94.0
PEX13,2.0,0.0,1.0,2.0,16.0,14.0,1.0,3.0,0.0,5.0,8.0,3.0,5.0,7.0,5.0,52.0
PEX16,3.0,5.0,16.0,8.0,0.0,7.0,10.0,25.0,14.0,13.0,4.0,9.0,5.0,0.0,4.0,81.0
PEX19,11.0,9.0,6.0,6.0,7.0,6.0,14.0,14.0,6.0,5.0,15.0,21.0,18.0,11.0,5.0,95.0
PFDN5,6.0,17.0,17.0,5.0,0.0,4.0,10.0,7.0,21.0,11.0,3.0,3.0,14.0,2.0,3.0,95.0
PPP1CC,11.0,3.0,11.0,2.0,0.0,2.0,5.0,5.0,14.0,6.0,2.0,7.0,6.0,2.0,0.0,60.0
