Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
ABCF1,9.0,25.0,14.0,20.0,8.0,27.0,19.0,25.0,38.0,26.0,34.0,16.0,12.0,24.0,19.0,230.0
ACTR2,129.0,111.0,100.0,103.0,80.0,94.0,104.0,93.0,120.0,65.0,80.0,158.0,98.0,79.0,94.0,1196.0
ACTR3,95.0,94.0,93.0,74.0,62.0,76.0,81.0,77.0,110.0,66.0,59.0,133.0,73.0,69.0,75.0,975.0
ALG13,67.0,43.0,55.0,100.0,24.0,44.0,57.0,38.0,90.0,85.0,94.0,78.0,53.0,29.0,35.0,680.0
ALG5,17.0,21.0,38.0,96.0,3.0,15.0,15.0,22.0,26.0,121.0,19.0,15.0,27.0,2.0,7.0,328.0
ALG6,11.0,13.0,27.0,99.0,2.0,16.0,18.0,15.0,17.0,123.0,30.0,15.0,12.0,6.0,8.0,280.0
ALG8,3.0,4.0,8.0,29.0,2.0,5.0,7.0,6.0,6.0,75.0,5.0,6.0,6.0,6.0,7.0,124.0
ANXA2,33.0,9.0,41.0,44.0,15.0,29.0,28.0,23.0,44.0,18.0,17.0,20.0,8.0,16.0,24.0,251.0
AP3S1,16.0,19.0,8.0,6.0,6.0,11.0,40.0,15.0,27.0,7.0,5.0,24.0,19.0,25.0,15.0,168.0
ARF4,62.0,67.0,56.0,56.0,38.0,51.0,74.0,43.0,99.0,46.0,67.0,78.0,37.0,34.0,43.0,648.0
ARNTL,7.0,3.0,5.0,7.0,14.0,24.0,30.0,31.0,29.0,5.0,14.0,26.0,14.0,18.0,15.0,159.0
ARPC2,87.0,81.0,78.0,74.0,62.0,74.0,45.0,61.0,96.0,48.0,63.0,125.0,72.0,62.0,70.0,888.0
ARPC3,79.0,87.0,104.0,78.0,52.0,68.0,82.0,81.0,106.0,55.0,60.0,108.0,46.0,58.0,61.0,896.0
ARPC4,159.0,142.0,135.0,131.0,94.0,112.0,122.0,119.0,149.0,70.0,117.0,196.0,118.0,108.0,127.0,1515.0
ATF4,5.0,25.0,45.0,20.0,4.0,18.0,8.0,21.0,12.0,23.0,18.0,18.0,16.0,10.0,11.0,203.0
ATG14,38.0,7.0,11.0,22.0,9.0,7.0,33.0,24.0,29.0,16.0,5.0,19.0,26.0,16.0,33.0,232.0
ATIC,41.0,72.0,37.0,32.0,26.0,51.0,33.0,27.0,43.0,34.0,83.0,65.0,26.0,21.0,46.0,523.0
ATL2,30.0,37.0,67.0,69.0,22.0,50.0,64.0,45.0,52.0,57.0,58.0,46.0,58.0,36.0,41.0,492.0
ATP6V0B,67.0,76.0,135.0,100.0,58.0,88.0,79.0,81.0,119.0,97.0,108.0,142.0,158.0,57.0,72.0,1089.0
ATP6V0C,124.0,138.0,175.0,143.0,96.0,140.0,128.0,125.0,178.0,136.0,151.0,191.0,208.0,93.0,129.0,1706.0
