gene,group,mAP
ABCF1,Whole cell hit,0.5843253968253969
ACTR2,Whole cell hit,0.90625
ACTR3,Whole cell hit,0.9375
ALG13,Whole cell hit,0.6319444444444444
ALG5,Whole cell hit,0.9791666666666666
ALG6,Whole cell hit,1.0
ALG8,Whole cell hit,0.5952380952380952
ANXA2,Whole cell hit,0.7101851851851853
AP3S1,Whole cell hit,0.502281746031746
ARF4,Whole cell hit,1.0
ARNTL,Whole cell hit,0.5984126984126984
ARPC2,Whole cell hit,0.8527777777777777
ARPC3,Whole cell hit,0.9666666666666667
ARPC4,Whole cell hit,1.0
ATF4,Whole cell hit,0.8773809523809524
ATG14,Whole cell hit,0.7822420634920634
ATIC,Whole cell hit,0.75
ATL2,Whole cell hit,1.0
ATP6V0B,Whole cell hit,1.0
ATP6V0C,Whole cell hit,1.0
ATP6V0D1,Whole cell hit,0.8055555555555555
ATP6V1H,Whole cell hit,1.0
BRAP,Whole cell hit,0.5104166666666666
CANX,Whole cell hit,0.5714285714285714
CASC3,Whole cell hit,0.5361111111111111
CDC73,Whole cell hit,0.40277777777777773
CDCA2,Whole cell hit,0.6124999999999999
CDK13,Whole cell hit,0.9791666666666666
CENPK,Whole cell hit,0.24047619047619045
CHMP6,Whole cell hit,0.6982142857142857
CHP1,Whole cell hit,0.5940476190476189
CIAO1,Whole cell hit,1.0
CIT,Whole cell hit,0.6666666666666666
COG3,Whole cell hit,0.41574074074074074
COG4,Whole cell hit,1.0
COPA,Whole cell hit,0.28214285714285714
COQ5,Whole cell hit,0.3452380952380952
COX14,Whole cell hit,0.5277777777777778
COX17,Whole cell hit,0.8416666666666667
COX4I1,Whole cell hit,1.0
COX7B,Whole cell hit,0.75
COX7C,Whole cell hit,0.6291666666666667
COX8A,Whole cell hit,0.47268518518518515
CPSF1,Whole cell hit,1.0
CPSF3,Whole cell hit,1.0
CPSF6,Whole cell hit,0.8722222222222222
CRKL,Whole cell hit,1.0
CSE1L,Whole cell hit,0.6840277777777777
CYCS,Whole cell hit,0.6136904761904761
DCAF15,Whole cell hit,0.7847222222222221
DCTN5,Whole cell hit,1.0
DDX6,Whole cell hit,1.0
DHX35,Whole cell hit,1.0
DNAJC24,Whole cell hit,1.0
DNM1L,Whole cell hit,1.0
DPH2,Whole cell hit,0.46018518518518514
DRG2,Whole cell hit,0.5638888888888889
DVL1,Whole cell hit,0.6388888888888888
DVL3,Whole cell hit,0.19722222222222222
DYNLL1,Whole cell hit,1.0
EEF1G,Whole cell hit,1.0
EEF2,Whole cell hit,0.8583333333333334
EIF2AK4,Whole cell hit,1.0
EIF2B1,Whole cell hit,0.8333333333333333
EIF2B2,Whole cell hit,1.0
EIF2B3,Whole cell hit,0.829861111111111
EIF2B4,Whole cell hit,0.47083333333333327
EIF2B5,Whole cell hit,0.5729166666666666
EIF2S3,Whole cell hit,0.49652777777777773
EIF3C,Whole cell hit,0.375
EIF3H,Whole cell hit,1.0
EIF3L,Whole cell hit,0.9097222222222222
EIF4A1,Whole cell hit,1.0
EIF4A2,Whole cell hit,0.32314814814814813
EIF4B,Whole cell hit,0.6934523809523808
EIF4E,Whole cell hit,0.8222222222222222
EIF4EBP1,Whole cell hit,0.8194444444444444
