gene,group,mAP
ABCF1,Whole cell hit,0.6273809523809524
ACTR2,Whole cell hit,0.9666666666666667
ACTR3,Whole cell hit,1.0
ALG13,Whole cell hit,0.9791666666666666
ALG5,Whole cell hit,1.0
ALG6,Whole cell hit,1.0
ALG8,Whole cell hit,0.5972222222222222
ANXA2,Whole cell hit,0.8571428571428571
ARF4,Whole cell hit,1.0
ARPC2,Whole cell hit,0.9666666666666667
ARPC3,Whole cell hit,1.0
ARPC4,Whole cell hit,1.0
ATF4,Whole cell hit,0.8611111111111112
ATG14,Whole cell hit,0.9458333333333333
ATIC,Whole cell hit,0.75
ATL2,Whole cell hit,1.0
ATP6V0A1,Whole cell hit,0.21111111111111108
ATP6V0B,Whole cell hit,1.0
ATP6V0C,Whole cell hit,1.0
ATP6V0D1,Whole cell hit,0.9458333333333333
ATP6V1H,Whole cell hit,1.0
BRAP,Whole cell hit,0.32936507936507936
CASC3,Whole cell hit,0.5388888888888889
CDC73,Whole cell hit,0.7499999999999999
CDCA2,Whole cell hit,0.6904761904761905
CDK13,Whole cell hit,1.0
CHMP6,Whole cell hit,0.5629960317460316
CHP1,Whole cell hit,0.5416666666666666
CIAO1,Whole cell hit,1.0
CIT,Whole cell hit,0.7652777777777777
COG3,Whole cell hit,0.7916666666666666
COG4,Whole cell hit,1.0
COPZ1,Whole cell hit,0.2638888888888889
COX14,Whole cell hit,0.5416666666666666
COX17,Whole cell hit,0.8541666666666666
COX4I1,Whole cell hit,1.0
COX7B,Whole cell hit,0.6736111111111112
COX7C,Whole cell hit,0.6001984126984127
CPSF1,Whole cell hit,0.9416666666666667
CPSF3,Whole cell hit,1.0
CPSF6,Whole cell hit,1.0
CRKL,Whole cell hit,1.0
CSE1L,Whole cell hit,0.6986111111111111
CYCS,Whole cell hit,0.8768518518518519
DCAF15,Whole cell hit,0.8777777777777778
DCTN5,Whole cell hit,1.0
DDX6,Whole cell hit,1.0
DHX35,Whole cell hit,1.0
DNA2,Whole cell hit,0.19305555555555554
DNAJC24,Whole cell hit,0.9458333333333333
DNM1L,Whole cell hit,1.0
DPH2,Whole cell hit,0.7208333333333333
DRG2,Whole cell hit,0.9791666666666666
DVL3,Whole cell hit,0.4425595238095238
DYNLL1,Whole cell hit,1.0
EEF1G,Whole cell hit,1.0
EEF2,Whole cell hit,0.9791666666666666
EIF2AK4,Whole cell hit,1.0
EIF2B1,Whole cell hit,0.875
EIF2B2,Whole cell hit,1.0
EIF2B3,Whole cell hit,0.8993055555555555
EIF2B4,Whole cell hit,0.5694444444444444
EIF2B5,Whole cell hit,0.65
EIF2S3,Whole cell hit,0.825
EIF3C,Whole cell hit,0.6134259259259259
EIF3H,Whole cell hit,1.0
EIF3L,Whole cell hit,0.9097222222222222
EIF4A1,Whole cell hit,1.0
EIF4B,Whole cell hit,0.6607142857142857
EIF4E,Whole cell hit,0.9166666666666666
EIF4EBP1,Whole cell hit,0.9479166666666666
EIF5,Whole cell hit,0.9083333333333333
ENO1,Whole cell hit,1.0
EPC1,Whole cell hit,0.9166666666666666
ERCC2,Whole cell hit,0.5
EXOC3,Whole cell hit,1.0
FAM193A,Whole cell hit,0.7256944444444445
FANCI,Whole cell hit,0.9791666666666666
FGFR1,Whole cell hit,0.8138888888888889
FIP1L1,Whole cell hit,0.7291666666666666
GCN1,Whole cell hit,0.8402777777777777
GDI2,Whole cell hit,0.75
GINS1,Whole cell hit,1.0
GLE1,Whole cell hit,0.5944444444444444
GOLGA2,Whole cell hit,0.9583333333333334
GSPT1,Whole cell hit,0.525
GSR,Whole cell hit,0.4722222222222222
HAUS3,Whole cell hit,0.33125000000000004
HDAC3,Whole cell hit,1.0
HSP90B1,Whole cell hit,1.0
HYOU1,Whole cell hit,1.0
INO80,Whole cell hit,1.0
INTS14,Whole cell hit,0.5666666666666667
INTS7,Whole cell hit,0.6541666666666667
ITGAV,Whole cell hit,1.0
ITGB1,Whole cell hit,0.9791666666666666
ITGB5,Whole cell hit,1.0
ITPK1,Whole cell hit,0.7113095238095237
JOSD1,Whole cell hit,0.6083333333333333
KATNA1,Whole cell hit,1.0
KCTD10,Whole cell hit,0.43531746031746027
KDM1A,Whole cell hit,1.0
KDM5A,Whole cell hit,0.9791666666666666
KIF5B,Whole cell hit,1.0
KPNA6,Whole cell hit,1.0
LAMP1,Whole cell hit,1.0
LAMTOR3,Whole cell hit,1.0
MAD1L1,Whole cell hit,0.6458333333333333
MAP1LC3B,Whole cell hit,0.5347222222222222
MAPK3,Whole cell hit,0.5
MCM3,Whole cell hit,0.2708333333333333
MCM5,Whole cell hit,1.0
MED12,Whole cell hit,1.0
MED17,Whole cell hit,0.875
MED8,Whole cell hit,0.3638888888888889
MED9,Whole cell hit,0.43055555555555547
MFN2,Whole cell hit,0.7881944444444445
MNT,Whole cell hit,0.4263888888888888
MORF4L2,Whole cell hit,0.8763888888888889
MRPL13,Whole cell hit,1.0
MRPL18,Whole cell hit,0.45138888888888884
MRPL28,Whole cell hit,0.30515873015873013
MRPL57,Whole cell hit,0.7071428571428571
MRPS18C,Whole cell hit,1.0
MRPS31,Whole cell hit,0.4256944444444444
MTOR,Whole cell hit,1.0
MVB12A,Whole cell hit,0.5638888888888889
MYC,Whole cell hit,1.0
MYO1B,Whole cell hit,0.7166666666666666
MYO1E,Whole cell hit,0.5875
NCOR1,Whole cell hit,1.0
NDEL1,Whole cell hit,0.5784722222222222
NDUFA10,Whole cell hit,0.29166666666666663
NDUFA11,Whole cell hit,0.7041666666666666
NDUFA2,Whole cell hit,0.6496031746031745
NEDD8,Whole cell hit,0.7291666666666666
NMD3,Whole cell hit,0.9305555555555556
NPEPPS,Whole cell hit,1.0
NSMCE4A,Whole cell hit,0.7103174603174603
NUDT12,Whole cell hit,0.7857142857142857
NUP188,Whole cell hit,0.4388558201058201
NUP93,Whole cell hit,0.41742724867724873
OSTC,Whole cell hit,0.9166666666666666
PABPN1,Whole cell hit,0.37152777777777773
PAFAH1B1,Whole cell hit,0.6284722222222222
PAK2,Whole cell hit,1.0
PDCD6IP,Whole cell hit,1.0
PEF1,Whole cell hit,0.8847222222222222
PER1,Whole cell hit,0.6151124338624339
PHB2,Whole cell hit,0.5428902116402116
PLRG1,Whole cell hit,0.5888888888888888
PML,Whole cell hit,0.9305555555555555
POGZ,Whole cell hit,1.0
POLD2,Whole cell hit,1.0
PPP1CA,Whole cell hit,0.8611111111111112
PPP2R2A,Whole cell hit,1.0
PPP2R3C,Whole cell hit,0.729563492063492
PRIM2,Whole cell hit,1.0
PRMT5,Whole cell hit,1.0
PSMA3,Whole cell hit,0.3619047619047619
PSMB5,Whole cell hit,0.38630952380952377
PSMC6,Whole cell hit,0.2520833333333333
PSMD10,Whole cell hit,0.9166666666666666
PSMD13,Whole cell hit,0.9166666666666666
PSMD5,Whole cell hit,1.0
PSMD9,Whole cell hit,0.5871031746031745
PSMF1,Whole cell hit,0.7569444444444445
RAB10,Whole cell hit,1.0
RAB11FIP3,Whole cell hit,0.2777777777777778
RAC1,Whole cell hit,1.0
RBM17,Whole cell hit,0.5375
RBP1,Whole cell hit,0.30515873015873013
RBPMS,Whole cell hit,0.6499999999999999
RCC1,Whole cell hit,0.32678571428571423
REEP5,Whole cell hit,0.6388888888888888
RELA,Whole cell hit,1.0
RFC3,Whole cell hit,1.0
RFC5,Whole cell hit,1.0
RHEB,Whole cell hit,0.5499999999999999
RHOB,Whole cell hit,0.3101851851851852
RNPS1,Whole cell hit,0.6289351851851852
RPL18,Whole cell hit,0.4722222222222222
RPL19,Whole cell hit,0.6472222222222223
RPL29,Whole cell hit,0.6944444444444444
RPL32,Whole cell hit,0.6944444444444444
RPL35A,Whole cell hit,0.21547619047619046
RPL36,Whole cell hit,0.9666666666666667
RPL37,Whole cell hit,0.45185185185185184
RPL39,Whole cell hit,0.5249999999999999
RPL4,Whole cell hit,0.7916666666666666
RPL5,Whole cell hit,0.2777777777777778
RPN1,Whole cell hit,0.7194444444444444
RPS12,Whole cell hit,0.5763888888888888
RPS16,Whole cell hit,1.0
RPS24,Whole cell hit,1.0
RPS4X,Whole cell hit,0.5
RPS6,Whole cell hit,0.5744047619047619
RPS8,Whole cell hit,0.3425925925925926
RRAGC,Whole cell hit,1.0
RSU1,Whole cell hit,1.0
SAP130,Whole cell hit,0.9166666666666666
SCNM1,Whole cell hit,0.5958333333333333
SCO1,Whole cell hit,0.5148809523809523
SDHB,Whole cell hit,1.0
SDHD,Whole cell hit,0.8791666666666667
SEC11A,Whole cell hit,1.0
SEPHS2,Whole cell hit,0.6187499999999999
SETDB1,Whole cell hit,1.0
SF3B3,Whole cell hit,0.2847222222222222
SF3B4,Whole cell hit,0.7242063492063492
SFPQ,Whole cell hit,0.4327380952380952
SH3BP4,Whole cell hit,1.0
SHOC2,Whole cell hit,1.0
SLC25A6,Whole cell hit,0.8458333333333333
SLC27A2,Whole cell hit,0.5154761904761905
SLC35A1,Whole cell hit,1.0
SLC46A1,Whole cell hit,0.8037698412698413
SMG7,Whole cell hit,1.0
SREBF1,Whole cell hit,0.5595238095238094
SRPRB,Whole cell hit,0.7666666666666667
SRSF1,Whole cell hit,0.6706349206349206
SSR2,Whole cell hit,0.9666666666666667
SSR3,Whole cell hit,1.0
SSR4,Whole cell hit,1.0
ST3GAL1,Whole cell hit,0.8621031746031745
ST3GAL4,Whole cell hit,1.0
STAG1,Whole cell hit,1.0
STRIP1,Whole cell hit,1.0
STT3A,Whole cell hit,0.6952380952380952
STT3B,Whole cell hit,0.9583333333333334
SUGP1,Whole cell hit,0.5555555555555556
SUV39H1,Whole cell hit,0.5
SYMPK,Whole cell hit,0.46084656084656084
SYNCRIP,Whole cell hit,0.2361111111111111
TAF5L,Whole cell hit,1.0
TARDBP,Whole cell hit,1.0
TCERG1,Whole cell hit,1.0
THAP11,Whole cell hit,1.0
TIMELESS,Whole cell hit,1.0
TMED10,Whole cell hit,1.0
TMED2,Whole cell hit,1.0
TMEM165,Whole cell hit,1.0
TMEM201,Whole cell hit,0.8624999999999999
TOE1,Whole cell hit,0.7291666666666666
TOMM20,Whole cell hit,0.75
TOMM22,Whole cell hit,1.0
TOMM40,Whole cell hit,1.0
TPT1,Whole cell hit,0.3854166666666666
TRAM1,Whole cell hit,0.6294642857142857
TRAPPC1,Whole cell hit,1.0
TRAPPC3,Whole cell hit,0.8125
TRAPPC4,Whole cell hit,1.0
TSC1,Whole cell hit,1.0
TSR1,Whole cell hit,0.5349206349206349
TSR2,Whole cell hit,0.6666666666666666
TUBB4B,Whole cell hit,0.9166666666666666
TXNRD1,Whole cell hit,0.5944444444444444
UBA6,Whole cell hit,0.9166666666666666
UBAP1,Whole cell hit,0.8621031746031745
UBC,Whole cell hit,0.43154761904761907
UBE2D3,Whole cell hit,1.0
UFM1,Whole cell hit,0.8041666666666667
UPF3A,Whole cell hit,0.6083333333333334
UPF3B,Whole cell hit,0.6902777777777777
UQCR10,Whole cell hit,0.4027777777777778
UQCRB,Whole cell hit,1.0
UQCRHL,Whole cell hit,0.6416666666666666
UQCRQ,Whole cell hit,0.6666666666666666
USP5,Whole cell hit,0.8292328042328042
VPS36,Whole cell hit,0.46527777777777773
VPS41,Whole cell hit,0.8125
VTA1,Whole cell hit,0.9305555555555555
WDR45,Whole cell hit,0.3890873015873016
WDR83,Whole cell hit,1.0
WRAP53,Whole cell hit,0.625
XPO5,Whole cell hit,0.9513888888888888
ZC3H8,Whole cell hit,0.47089947089947093
ZC3HC1,Whole cell hit,0.47883597883597884
ZNF131,Whole cell hit,0.34351851851851856
ZNHIT6,Whole cell hit,0.673611111111111
ADAR,Compartment hit,0.2013888888888889
ANAPC10,Compartment hit,0.38888888888888884
AP3S1,Compartment hit,0.3430555555555555
ARNTL,Compartment hit,0.4895833333333333
ARPC1B,Compartment hit,0.2569444444444444
ARPC5,Compartment hit,0.3821428571428572
ATP6V0E1,Compartment hit,0.17539682539682538
AURKB,Compartment hit,0.013888888888888888
BANP,Compartment hit,0.10185185185185186
BOD1,Compartment hit,0.058333333333333334
BOD1L1,Compartment hit,0.6458333333333333
CANX,Compartment hit,0.625
CAT,Compartment hit,0.3416666666666667
CCT4,Compartment hit,0.10899470899470899
CEBPG,Compartment hit,0.27232142857142855
CENPK,Compartment hit,0.28194444444444444
CHMP4B,Compartment hit,0.15625
