Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
ADAR,19.0,2.0,0.0,6.0,4.0,5.0,9.0,7.0,16.0,7.0,12.0,9.0,9.0,16.0,12.0,92.0
ANAPC10,10.0,8.0,6.0,6.0,8.0,16.0,8.0,11.0,9.0,7.0,14.0,8.0,2.0,3.0,8.0,95.0
AP3S1,11.0,10.0,7.0,1.0,2.0,2.0,27.0,3.0,12.0,5.0,5.0,9.0,12.0,9.0,2.0,81.0
ARNTL,6.0,1.0,1.0,6.0,8.0,19.0,11.0,21.0,21.0,4.0,16.0,12.0,6.0,9.0,12.0,98.0
ARPC1B,4.0,2.0,6.0,8.0,1.0,6.0,2.0,1.0,1.0,13.0,10.0,2.0,5.0,2.0,3.0,46.0
ARPC5,4.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,10.0,3.0,2.0,18.0,0.0,0.0,40.0
ATP6V0E1,2.0,1.0,2.0,4.0,3.0,3.0,11.0,2.0,6.0,4.0,11.0,10.0,2.0,6.0,5.0,54.0
AURKB,6.0,3.0,0.0,8.0,2.0,1.0,8.0,2.0,6.0,7.0,1.0,4.0,5.0,1.0,3.0,43.0
BANP,3.0,2.0,1.0,5.0,3.0,9.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,4.0,5.0,39.0
BOD1,4.0,0.0,12.0,3.0,1.0,2.0,10.0,4.0,8.0,2.0,1.0,3.0,0.0,8.0,2.0,40.0
BOD1L1,7.0,7.0,4.0,2.0,0.0,0.0,14.0,9.0,7.0,7.0,0.0,5.0,8.0,2.0,6.0,56.0
CANX,2.0,5.0,3.0,5.0,6.0,4.0,75.0,2.0,6.0,2.0,5.0,5.0,2.0,5.0,3.0,82.0
CAT,0.0,1.0,3.0,0.0,6.0,4.0,4.0,13.0,5.0,4.0,2.0,9.0,1.0,3.0,3.0,33.0
CCT4,10.0,0.0,10.0,5.0,2.0,5.0,11.0,7.0,14.0,4.0,1.0,6.0,2.0,4.0,12.0,79.0
CEBPG,1.0,0.0,4.0,3.0,0.0,6.0,3.0,7.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,25.0
CENPK,2.0,8.0,5.0,8.0,3.0,6.0,7.0,2.0,11.0,3.0,5.0,6.0,6.0,7.0,13.0,71.0
