Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
ABCF1,9.0,18.0,15.0,17.0,13.0,24.0,14.0,22.0,48.0,21.0,34.0,19.0,11.0,20.0,21.0,217.0
ACTR2,112.0,87.0,93.0,87.0,60.0,65.0,91.0,70.0,107.0,52.0,69.0,136.0,90.0,67.0,85.0,1033.0
ACTR3,117.0,84.0,95.0,70.0,61.0,70.0,84.0,69.0,119.0,73.0,71.0,135.0,89.0,71.0,92.0,1081.0
ALG13,53.0,34.0,60.0,102.0,19.0,24.0,57.0,32.0,77.0,74.0,68.0,73.0,44.0,23.0,34.0,594.0
ALG5,18.0,18.0,42.0,100.0,3.0,12.0,16.0,22.0,21.0,113.0,20.0,16.0,24.0,6.0,11.0,324.0
ALG6,15.0,11.0,25.0,83.0,3.0,9.0,20.0,15.0,13.0,106.0,18.0,14.0,12.0,6.0,9.0,242.0
ALG8,1.0,4.0,9.0,22.0,5.0,6.0,19.0,6.0,8.0,76.0,4.0,6.0,4.0,7.0,6.0,122.0
ANXA2,30.0,6.0,21.0,37.0,16.0,20.0,21.0,13.0,37.0,12.0,16.0,13.0,10.0,16.0,19.0,193.0
ARF4,85.0,69.0,55.0,69.0,52.0,56.0,80.0,56.0,90.0,52.0,87.0,103.0,56.0,34.0,63.0,765.0
ARPC2,102.0,77.0,80.0,66.0,51.0,58.0,56.0,54.0,96.0,53.0,64.0,126.0,72.0,63.0,72.0,917.0
ARPC3,83.0,68.0,97.0,76.0,51.0,54.0,75.0,60.0,103.0,57.0,62.0,117.0,57.0,54.0,69.0,889.0
ARPC4,168.0,123.0,130.0,122.0,74.0,92.0,114.0,97.0,142.0,81.0,110.0,186.0,126.0,87.0,114.0,1459.0
ATF4,7.0,18.0,27.0,14.0,9.0,15.0,8.0,12.0,14.0,21.0,16.0,14.0,18.0,13.0,9.0,183.0
ATG14,28.0,9.0,10.0,19.0,8.0,9.0,33.0,16.0,24.0,11.0,12.0,13.0,16.0,14.0,33.0,193.0
ATIC,37.0,50.0,39.0,29.0,18.0,36.0,24.0,17.0,38.0,34.0,62.0,45.0,26.0,21.0,47.0,434.0
ATL2,24.0,25.0,50.0,53.0,16.0,40.0,52.0,29.0,31.0,45.0,55.0,40.0,50.0,26.0,26.0,372.0
ATP6V0A1,5.0,11.0,7.0,6.0,3.0,3.0,28.0,10.0,32.0,7.0,13.0,10.0,5.0,3.0,11.0,101.0
ATP6V0B,61.0,70.0,127.0,97.0,62.0,81.0,85.0,65.0,126.0,92.0,95.0,128.0,130.0,58.0,86.0,1049.0
ATP6V0C,106.0,115.0,151.0,132.0,82.0,110.0,122.0,100.0,169.0,117.0,132.0,173.0,166.0,85.0,124.0,1512.0
ATP6V0D1,30.0,28.0,82.0,48.0,17.0,46.0,41.0,31.0,77.0,58.0,52.0,61.0,66.0,18.0,44.0,528.0
ATP6V1H,74.0,67.0,138.0,104.0,60.0,93.0,92.0,69.0,126.0,95.0,97.0,119.0,123.0,57.0,99.0,1096.0
BRAP,18.0,24.0,19.0,8.0,12.0,13.0,12.0,20.0,12.0,22.0,17.0,15.0,32.0,4.0,14.0,175.0
CASC3,53.0,28.0,30.0,25.0,10.0,16.0,17.0,15.0,41.0,27.0,39.0,41.0,29.0,31.0,35.0,322.0
CDC73,22.0,6.0,13.0,15.0,4.0,14.0,14.0,13.0,25.0,32.0,30.0,25.0,9.0,0.0,13.0,184.0
CDCA2,24.0,13.0,13.0,12.0,19.0,22.0,28.0,18.0,15.0,17.0,34.0,25.0,27.0,28.0,28.0,232.0
CDK13,67.0,33.0,53.0,57.0,42.0,54.0,56.0,32.0,87.0,61.0,55.0,77.0,65.0,45.0,59.0,715.0
CHMP6,48.0,35.0,40.0,49.0,29.0,34.0,39.0,34.0,58.0,29.0,56.0,63.0,47.0,31.0,57.0,487.0
CHP1,18.0,24.0,29.0,16.0,17.0,37.0,39.0,19.0,44.0,36.0,34.0,33.0,20.0,10.0,16.0,267.0
CIAO1,83.0,73.0,65.0,95.0,54.0,52.0,62.0,53.0,103.0,49.0,102.0,92.0,58.0,54.0,76.0,824.0
CIT,52.0,23.0,19.0,33.0,8.0,32.0,27.0,23.0,32.0,17.0,42.0,55.0,34.0,18.0,29.0,347.0
COG3,12.0,18.0,100.0,38.0,5.0,19.0,9.0,10.0,22.0,58.0,27.0,15.0,17.0,6.0,19.0,260.0
COG4,53.0,69.0,129.0,130.0,35.0,56.0,55.0,45.0,75.0,94.0,61.0,67.0,78.0,25.0,47.0,787.0
