Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
ADAR,19.0,2.0,0.0,6.0,4.0,5.0,9.0,6.0,15.0,7.0,11.0,9.0,8.0,16.0,12.0,88.0
ANAPC10,10.0,8.0,6.0,6.0,8.0,16.0,8.0,9.0,8.0,7.0,14.0,8.0,2.0,3.0,7.0,92.0
AP3S1,11.0,10.0,7.0,1.0,2.0,2.0,26.0,1.0,10.0,5.0,4.0,9.0,11.0,9.0,2.0,77.0
ARNTL,6.0,1.0,1.0,6.0,8.0,19.0,10.0,20.0,20.0,4.0,16.0,12.0,6.0,9.0,12.0,96.0
ARPC1B,4.0,2.0,6.0,8.0,1.0,6.0,2.0,1.0,1.0,12.0,10.0,2.0,5.0,2.0,2.0,44.0
ARPC5,4.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,10.0,2.0,2.0,17.0,0.0,0.0,39.0
ATP6V0E1,2.0,1.0,2.0,4.0,3.0,3.0,11.0,2.0,6.0,4.0,10.0,10.0,1.0,6.0,5.0,53.0
AURKB,6.0,3.0,0.0,8.0,2.0,1.0,7.0,1.0,6.0,7.0,1.0,4.0,5.0,1.0,2.0,41.0
BANP,3.0,2.0,1.0,5.0,3.0,9.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,38.0
BOD1,4.0,0.0,11.0,3.0,1.0,2.0,10.0,3.0,7.0,2.0,1.0,3.0,0.0,8.0,2.0,38.0
BOD1L1,7.0,7.0,4.0,2.0,0.0,0.0,14.0,8.0,5.0,7.0,0.0,5.0,8.0,2.0,6.0,54.0
CANX,2.0,5.0,3.0,5.0,6.0,4.0,73.0,1.0,5.0,2.0,5.0,5.0,2.0,5.0,3.0,79.0
CAT,0.0,1.0,3.0,0.0,6.0,4.0,4.0,11.0,3.0,4.0,2.0,9.0,1.0,3.0,3.0,31.0
CCT4,10.0,0.0,10.0,5.0,2.0,5.0,11.0,6.0,12.0,4.0,1.0,6.0,2.0,4.0,11.0,75.0
CEBPG,1.0,0.0,4.0,3.0,0.0,6.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,23.0
CENPK,2.0,8.0,5.0,8.0,3.0,6.0,7.0,2.0,11.0,3.0,5.0,6.0,6.0,7.0,13.0,71.0
CHMP4B,7.0,1.0,6.0,2.0,3.0,2.0,3.0,6.0,16.0,1.0,2.0,2.0,3.0,4.0,12.0,48.0
CNOT7,5.0,2.0,17.0,4.0,1.0,4.0,4.0,4.0,13.0,3.0,3.0,6.0,1.0,3.0,5.0,50.0
