Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
ABCF1,9.0,18.0,15.0,17.0,13.0,24.0,14.0,22.0,47.0,20.0,34.0,19.0,11.0,20.0,21.0,215.0
ACTR2,112.0,87.0,92.0,87.0,60.0,65.0,90.0,68.0,106.0,49.0,68.0,136.0,88.0,67.0,84.0,1023.0
ACTR3,117.0,84.0,95.0,70.0,61.0,70.0,83.0,65.0,117.0,72.0,71.0,135.0,88.0,71.0,92.0,1076.0
ALG13,53.0,34.0,58.0,102.0,19.0,24.0,56.0,28.0,74.0,71.0,67.0,73.0,42.0,23.0,33.0,582.0
ALG5,18.0,18.0,40.0,100.0,3.0,12.0,16.0,19.0,20.0,110.0,20.0,16.0,23.0,6.0,11.0,317.0
ALG6,15.0,11.0,24.0,83.0,3.0,9.0,20.0,12.0,12.0,103.0,18.0,14.0,12.0,6.0,9.0,237.0
ALG8,1.0,4.0,8.0,22.0,5.0,6.0,19.0,4.0,8.0,73.0,4.0,6.0,4.0,7.0,6.0,118.0
ANXA2,30.0,6.0,21.0,37.0,16.0,20.0,20.0,11.0,36.0,12.0,16.0,13.0,10.0,16.0,19.0,191.0
ARF4,85.0,69.0,55.0,69.0,52.0,56.0,78.0,52.0,88.0,52.0,86.0,103.0,54.0,34.0,62.0,757.0
ARPC2,102.0,77.0,79.0,66.0,51.0,58.0,56.0,52.0,94.0,51.0,63.0,126.0,70.0,63.0,72.0,910.0
ARPC3,83.0,68.0,97.0,76.0,51.0,54.0,75.0,57.0,102.0,56.0,61.0,117.0,55.0,54.0,69.0,884.0
ARPC4,168.0,123.0,129.0,122.0,74.0,92.0,112.0,92.0,138.0,79.0,109.0,186.0,124.0,87.0,114.0,1447.0
ATF4,7.0,18.0,27.0,14.0,9.0,15.0,8.0,12.0,14.0,20.0,16.0,14.0,18.0,13.0,9.0,182.0
ATG14,28.0,9.0,10.0,19.0,8.0,9.0,32.0,13.0,23.0,9.0,12.0,13.0,16.0,14.0,33.0,189.0
ATIC,37.0,50.0,38.0,29.0,18.0,36.0,23.0,15.0,37.0,34.0,61.0,45.0,24.0,21.0,47.0,427.0
ATL2,24.0,25.0,48.0,53.0,16.0,40.0,52.0,26.0,30.0,44.0,54.0,40.0,49.0,26.0,26.0,367.0
ATP6V0A1,5.0,11.0,7.0,6.0,3.0,3.0,28.0,8.0,30.0,7.0,13.0,10.0,5.0,3.0,11.0,98.0
ATP6V0B,61.0,70.0,125.0,97.0,62.0,81.0,84.0,62.0,124.0,90.0,95.0,128.0,129.0,58.0,85.0,1039.0
ATP6V0C,106.0,115.0,149.0,132.0,82.0,110.0,120.0,95.0,166.0,114.0,132.0,173.0,165.0,85.0,123.0,1498.0
ATP6V0D1,30.0,28.0,80.0,48.0,17.0,46.0,40.0,28.0,75.0,58.0,52.0,61.0,65.0,18.0,43.0,520.0
ATP6V1H,74.0,67.0,136.0,104.0,60.0,93.0,91.0,65.0,122.0,94.0,97.0,119.0,122.0,57.0,98.0,1085.0
BRAP,18.0,24.0,18.0,8.0,12.0,13.0,11.0,18.0,12.0,22.0,17.0,15.0,31.0,4.0,14.0,173.0
CASC3,53.0,28.0,29.0,25.0,10.0,16.0,17.0,13.0,40.0,27.0,38.0,41.0,27.0,31.0,35.0,316.0
CDC73,22.0,6.0,13.0,15.0,4.0,14.0,14.0,12.0,24.0,32.0,30.0,25.0,9.0,0.0,13.0,183.0
CDCA2,24.0,13.0,12.0,12.0,19.0,22.0,28.0,16.0,15.0,15.0,33.0,25.0,26.0,28.0,28.0,228.0
CDK13,67.0,33.0,53.0,57.0,42.0,54.0,55.0,29.0,84.0,59.0,54.0,77.0,64.0,45.0,59.0,706.0
CHMP6,48.0,35.0,40.0,49.0,29.0,34.0,39.0,34.0,58.0,29.0,56.0,63.0,47.0,31.0,57.0,487.0
CHP1,18.0,24.0,29.0,16.0,17.0,37.0,38.0,17.0,43.0,36.0,34.0,33.0,19.0,10.0,15.0,263.0
CIAO1,83.0,73.0,63.0,95.0,54.0,52.0,61.0,50.0,102.0,46.0,101.0,92.0,57.0,54.0,76.0,815.0
CIT,52.0,23.0,19.0,33.0,8.0,32.0,27.0,23.0,32.0,17.0,41.0,55.0,33.0,18.0,29.0,345.0
COG3,12.0,18.0,98.0,38.0,5.0,19.0,9.0,7.0,20.0,55.0,27.0,15.0,16.0,6.0,19.0,252.0
COG4,53.0,69.0,127.0,130.0,35.0,56.0,54.0,41.0,72.0,91.0,61.0,67.0,77.0,25.0,47.0,776.0
COX14,10.0,18.0,13.0,14.0,4.0,9.0,16.0,7.0,53.0,9.0,12.0,14.0,26.0,6.0,9.0,146.0
COX17,35.0,21.0,8.0,11.0,13.0,15.0,16.0,7.0,28.0,8.0,24.0,34.0,12.0,14.0,14.0,195.0
COX4I1,14.0,15.0,21.0,21.0,20.0,19.0,16.0,14.0,190.0,12.0,32.0,29.0,77.0,13.0,106.0,427.0
COX7B,5.0,10.0,10.0,7.0,7.0,4.0,7.0,2.0,82.0,4.0,14.0,10.0,6.0,8.0,13.0,121.0
COX7C,19.0,9.0,15.0,14.0,10.0,16.0,16.0,9.0,54.0,10.0,28.0,28.0,22.0,12.0,17.0,209.0
CPSF1,31.0,25.0,14.0,18.0,24.0,30.0,19.0,27.0,25.0,8.0,62.0,21.0,53.0,16.0,29.0,306.0
CPSF3,52.0,30.0,54.0,37.0,28.0,39.0,50.0,54.0,41.0,45.0,75.0,35.0,65.0,31.0,36.0,500.0
CPSF6,31.0,19.0,39.0,11.0,5.0,9.0,11.0,25.0,36.0,42.0,11.0,24.0,61.0,12.0,16.0,250.0
CRKL,155.0,117.0,102.0,111.0,91.0,94.0,117.0,98.0,130.0,81.0,111.0,154.0,120.0,93.0,127.0,1404.0
CSE1L,28.0,58.0,23.0,27.0,7.0,10.0,17.0,37.0,33.0,16.0,26.0,62.0,108.0,8.0,17.0,360.0
CYCS,25.0,15.0,32.0,29.0,33.0,51.0,26.0,16.0,35.0,20.0,51.0,45.0,18.0,21.0,34.0,323.0
DCAF15,13.0,29.0,8.0,8.0,4.0,4.0,7.0,12.0,7.0,17.0,12.0,17.0,23.0,2.0,3.0,114.0
